year,name,n,
1,FLY DUBAI,21125,
2,FLY DUBAI,18919,
3,FLY DUBAI,20012,
4,FLY DUBAI,19528,
5,FLY DUBAI,20191,
6,FLY DUBAI,21266,
7,FLY DUBAI,22640,
8,FLY DUBAI,18202,
9,FLY DUBAI,17728,
10,FLY DUBAI,19946,
11,FLY DUBAI,20585,
12,FLY DUBAI,22090,
1,GULF AIR,38809,
2,GULF AIR,34092,
3,GULF AIR,36399,
4,GULF AIR,35639,
5,GULF AIR,38161,
6,GULF AIR,39100,
7,GULF AIR,40378,
8,GULF AIR,33528,
9,GULF AIR,31114,
10,GULF AIR,34009,
11,GULF AIR,33427,
12,GULF AIR,40217,
1,INDIGO,64903,
2,INDIGO,63752,
3,INDIGO,74361,
4,INDIGO,65124,
5,INDIGO,68092,
6,INDIGO,74450,
7,INDIGO,83584,
8,INDIGO,59674,
9,INDIGO,65590,
10,INDIGO,75195,
11,INDIGO,82165,
12,INDIGO,97759,
1,IRAN AIR,1576,
2,IRAN AIR,1187,
3,IRAN AIR,1446,
4,IRAN AIR,1071,
5,IRAN AIR,2360,
6,IRAN AIR,800,
7,IRAN AIR,688,
8,IRAN AIR,993,
9,IRAN AIR,1328,
10,IRAN AIR,965,
11,IRAN AIR,1229,
12,IRAN AIR,1517,
1,IRAQI AIRWAYS,0,
2,IRAQI AIRWAYS,0,
3,IRAQI AIRWAYS,993,
4,IRAQI AIRWAYS,0,
5,IRAQI AIRWAYS,0,
6,IRAQI AIRWAYS,0,
7,IRAQI AIRWAYS,0,
8,IRAQI AIRWAYS,1732,
9,IRAQI AIRWAYS,0,
10,IRAQI AIRWAYS,0,
11,IRAQI AIRWAYS,1459,
12,IRAQI AIRWAYS,0,
1,ISLAND AVIATION SERVICES,4269,
2,ISLAND AVIATION SERVICES,3491,
3,ISLAND AVIATION SERVICES,4466,
4,ISLAND AVIATION SERVICES,3972,
5,ISLAND AVIATION SERVICES,4163,
6,ISLAND AVIATION SERVICES,2745,
7,ISLAND AVIATION SERVICES,4095,
8,ISLAND AVIATION SERVICES,3818,
9,ISLAND AVIATION SERVICES,3803,
10,ISLAND AVIATION SERVICES,3425,
11,ISLAND AVIATION SERVICES,6233,
12,ISLAND AVIATION SERVICES,5360,
1,JAPAN AIRLINES,4034,
2,JAPAN AIRLINES,4197,
3,JAPAN AIRLINES,4388,
4,JAPAN AIRLINES,3724,
5,JAPAN AIRLINES,3152,
6,JAPAN AIRLINES,3400,
7,JAPAN AIRLINES,3855,
8,JAPAN AIRLINES,3179,
9,JAPAN AIRLINES,3185,
10,JAPAN AIRLINES,3546,
11,JAPAN AIRLINES,4167,
12,JAPAN AIRLINES,3658,
1,JET AIRWAYS,308204,
2,JET AIRWAYS,257058,
3,JET AIRWAYS,291723,
4,JET AIRWAYS,286211,
5,JET AIRWAYS,309890,
6,JET AIRWAYS,336413,
7,JET AIRWAYS,362470,
8,JET AIRWAYS,324675,
9,JET AIRWAYS,292959,
10,JET AIRWAYS,312364,
11,JET AIRWAYS,328944,
12,JET AIRWAYS,402497,
1,KALITTA AIR,0,
2,KALITTA AIR,0,
3,KALITTA AIR,0,
4,KALITTA AIR,0,
5,KALITTA AIR,0,
6,KALITTA AIR,0,
7,KALITTA AIR,0,
8,KALITTA AIR,0,
9,KALITTA AIR,0,
10,KALITTA AIR,0,
11,KALITTA AIR,0,
12,KALITTA AIR,0,
1,KAM AIR,4360,
2,KAM AIR,4435,
3,KAM AIR,4077,
4,KAM AIR,2532,
5,KAM AIR,3492,
6,KAM AIR,3665,
7,KAM AIR,4194,
8,KAM AIR,4708,
9,KAM AIR,2175,
10,KAM AIR,4479,
11,KAM AIR,4352,
12,KAM AIR,4305,
1,KENYA AIRWAYS,7346,
2,KENYA AIRWAYS,6844,
3,KENYA AIRWAYS,6530,
4,KENYA AIRWAYS,4912,
5,KENYA AIRWAYS,6071,
6,KENYA AIRWAYS,0,
7,KENYA AIRWAYS,6790,
8,KENYA AIRWAYS,7079,
9,KENYA AIRWAYS,6338,
10,KENYA AIRWAYS,6152,
11,KENYA AIRWAYS,5792,
12,KENYA AIRWAYS,7515,
1,KLM AIRLINES,11749,
2,KLM AIRLINES,5678,
3,KLM AIRLINES,9963,
4,KLM AIRLINES,6437,
5,KLM AIRLINES,6857,
6,KLM AIRLINES,8559,
7,KLM AIRLINES,8408,
8,KLM AIRLINES,7660,
9,KLM AIRLINES,7406,
10,KLM AIRLINES,8964,
11,KLM AIRLINES,11845,
12,KLM AIRLINES,10258,
1,KOREAN AIR,2224,
2,KOREAN AIR,2093,
3,KOREAN AIR,1677,
4,KOREAN AIR,1494,
5,KOREAN AIR,1787,
6,KOREAN AIR,2097,
7,KOREAN AIR,2052,
8,KOREAN AIR,1725,
9,KOREAN AIR,1722,
10,KOREAN AIR,2034,
11,KOREAN AIR,2351,
12,KOREAN AIR,5933,
1,KUWAIT AIRWAYS,17462,
2,KUWAIT AIRWAYS,18901,
3,KUWAIT AIRWAYS,22599,
4,KUWAIT AIRWAYS,27471,
5,KUWAIT AIRWAYS,30308,
6,KUWAIT AIRWAYS,31182,
7,KUWAIT AIRWAYS,33122,
8,KUWAIT AIRWAYS,26195,
9,KUWAIT AIRWAYS,26574,
10,KUWAIT AIRWAYS,27692,
11,KUWAIT AIRWAYS,27126,
12,KUWAIT AIRWAYS,35722,
1,LUFTHANSA,48577,
2,LUFTHANSA,47205,
3,LUFTHANSA,44514,
4,LUFTHANSA,36572,
5,LUFTHANSA,43658,
6,LUFTHANSA,55657,
7,LUFTHANSA,59179,
8,LUFTHANSA,48310,
9,LUFTHANSA,44654,
10,LUFTHANSA,53628,
11,LUFTHANSA,47210,
12,LUFTHANSA,46216,
1,MAHAN AIR,1348,
2,MAHAN AIR,2060,
3,MAHAN AIR,3373,
4,MAHAN AIR,741,
5,MAHAN AIR,1580,
6,MAHAN AIR,1531,
7,MAHAN AIR,929,
8,MAHAN AIR,1208,
9,MAHAN AIR,1568,
10,MAHAN AIR,1853,
11,MAHAN AIR,1869,
12,MAHAN AIR,2120,
1,MALAYSIA AIRLINES,34778,
2,MALAYSIA AIRLINES,31681,
3,MALAYSIA AIRLINES,31028,
4,MALAYSIA AIRLINES,31875,
5,MALAYSIA AIRLINES,35319,
6,MALAYSIA AIRLINES,35653,
7,MALAYSIA AIRLINES,34453,
8,MALAYSIA AIRLINES,24241,
9,MALAYSIA AIRLINES,22079,
10,MALAYSIA AIRLINES,14675,
11,MALAYSIA AIRLINES,25077,
12,MALAYSIA AIRLINES,38831,
1,MALINDO AIRWAYS,27912,
2,MALINDO AIRWAYS,19915,
3,MALINDO AIRWAYS,20267,
4,MALINDO AIRWAYS,19083,
5,MALINDO AIRWAYS,27712,
6,MALINDO AIRWAYS,25588,
7,MALINDO AIRWAYS,27032,
8,MALINDO AIRWAYS,27250,
9,MALINDO AIRWAYS,26098,
10,MALINDO AIRWAYS,24986,
11,MALINDO AIRWAYS,28503,
12,MALINDO AIRWAYS,30499,
1,MIHIN LANKA,10087,
2,MIHIN LANKA,11041,
3,MIHIN LANKA,10972,
4,MIHIN LANKA,10704,
5,MIHIN LANKA,11958,
6,MIHIN LANKA,11685,
7,MIHIN LANKA,22354,
8,MIHIN LANKA,9763,
9,MIHIN LANKA,8990,
10,MIHIN LANKA,9477,
11,MIHIN LANKA,0,
12,MIHIN LANKA,0,
1,MYANMAR AIRLINES,1068,
2,MYANMAR AIRLINES,1482,
3,MYANMAR AIRLINES,1382,
4,MYANMAR AIRLINES,421,
5,MYANMAR AIRLINES,0,
6,MYANMAR AIRLINES,0,
7,MYANMAR AIRLINES,0,
8,MYANMAR AIRLINES,0,
9,MYANMAR AIRLINES,0,
10,MYANMAR AIRLINES,2691,
11,MYANMAR AIRLINES,3086,
12,MYANMAR AIRLINES,2539,
1,NEPAL AIRLINES CORPORATION,3450,
2,NEPAL AIRLINES CORPORATION,4949,
3,NEPAL AIRLINES CORPORATION,5749,
4,NEPAL AIRLINES CORPORATION,6530,
5,NEPAL AIRLINES CORPORATION,5682,
6,NEPAL AIRLINES CORPORATION,6277,
7,NEPAL AIRLINES CORPORATION,6992,
8,NEPAL AIRLINES CORPORATION,6274,
9,NEPAL AIRLINES CORPORATION,6274,
10,NEPAL AIRLINES CORPORATION,6338,
11,NEPAL AIRLINES CORPORATION,6615,
12,NEPAL AIRLINES CORPORATION,7080,
1,OMAN AIR,72192,
2,OMAN AIR,99250,
3,OMAN AIR,70018,
4,OMAN AIR,64956,
5,OMAN AIR,71554,
6,OMAN AIR,75820,
7,OMAN AIR,79523,
8,OMAN AIR,63180,
9,OMAN AIR,63679,
10,OMAN AIR,67705,
11,OMAN AIR,69418,
12,OMAN AIR,75685,
1,PAK INTERNATIONAL,990,
2,PAK INTERNATIONAL,639,
3,PAK INTERNATIONAL,936,
4,PAK INTERNATIONAL,985,
5,PAK INTERNATIONAL,998,
6,PAK INTERNATIONAL,903,
7,PAK INTERNATIONAL,1224,
8,PAK INTERNATIONAL,777,
9,PAK INTERNATIONAL,714,
10,PAK INTERNATIONAL,315,
11,PAK INTERNATIONAL,512,
12,PAK INTERNATIONAL,544,
1,QATAR AIRWAYS,88533,
2,QATAR AIRWAYS,74654,
3,QATAR AIRWAYS,81895,
4,QATAR AIRWAYS,75955,
5,QATAR AIRWAYS,87868,
6,QATAR AIRWAYS,94937,
7,QATAR AIRWAYS,97391,
8,QATAR AIRWAYS,83513,
9,QATAR AIRWAYS,80378,
10,QATAR AIRWAYS,93796,
11,QATAR AIRWAYS,92625,
12,QATAR AIRWAYS,99976,
1,REGENT AIRWAYS,6265,
2,REGENT AIRWAYS,6361,
3,REGENT AIRWAYS,6622,
4,REGENT AIRWAYS,7206,
5,REGENT AIRWAYS,7623,
6,REGENT AIRWAYS,6753,
7,REGENT AIRWAYS,7845,
8,REGENT AIRWAYS,7590,
9,REGENT AIRWAYS,8687,
10,REGENT AIRWAYS,7838,
11,REGENT AIRWAYS,6412,
12,REGENT AIRWAYS,7644,
1,SAFI AIRWAYS,2881,
2,SAFI AIRWAYS,2999,
3,SAFI AIRWAYS,2435,
4,SAFI AIRWAYS,1639,
5,SAFI AIRWAYS,1756,
6,SAFI AIRWAYS,1721,
7,SAFI AIRWAYS,1992,
8,SAFI AIRWAYS,2947,
9,SAFI AIRWAYS,2192,
10,SAFI AIRWAYS,2649,
11,SAFI AIRWAYS,2126,
12,SAFI AIRWAYS,2619,
1,SAUDIA,66285,
2,SAUDIA,56227,
3,SAUDIA,60591,
4,SAUDIA,60840,
5,SAUDIA,72471,
6,SAUDIA,72337,
7,SAUDIA,70536,
8,SAUDIA,47115,
9,SAUDIA,47458,
10,SAUDIA,55287,
11,SAUDIA,57896,
12,SAUDIA,74718,
1,SCAT AIRLINES,924,
2,SCAT AIRLINES,470,
3,SCAT AIRLINES,634,
4,SCAT AIRLINES,0,
5,SCAT AIRLINES,0,
6,SCAT AIRLINES,0,
7,SCAT AIRLINES,0,
8,SCAT AIRLINES,0,
9,SCAT AIRLINES,0,
10,SCAT AIRLINES,0,
11,SCAT AIRLINES,1138,
12,SCAT AIRLINES,1153,
1,SHANDONG AIRLINES,1420,
2,SHANDONG AIRLINES,866,
3,SHANDONG AIRLINES,981,
4,SHANDONG AIRLINES,0,
5,SHANDONG AIRLINES,298,
6,SHANDONG AIRLINES,811,
7,SHANDONG AIRLINES,1624,
8,SHANDONG AIRLINES,1055,
9,SHANDONG AIRLINES,1059,
10,SHANDONG AIRLINES,1327,
11,SHANDONG AIRLINES,1553,
12,SHANDONG AIRLINES,1525,
1,SILK AIR,18335,
2,SILK AIR,14035,
